teamLoc,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamPTS1,teamPTS2,teamRslt
0,101,20,17,10,7,28,84,33,0.3929,46,21,0.4565,38,12,0.3158,27,23,0.8519,12,34,26,25,0
1,111,20,14,8,4,25,77,36,0.4675,50,26,0.52,27,10,0.3704,37,29,0.7838,6,34,31,25,1
0,108,18,11,9,4,18,96,43,0.4479,77,36,0.4675,19,7,0.3684,21,15,0.7143,13,32,31,19,0
1,112,24,14,6,11,19,87,45,0.5172,53,31,0.5849,34,14,0.4118,14,8,0.5714,6,39,26,37,1
0,111,21,13,5,2,25,91,44,0.4835,61,35,0.5738,30,9,0.3,15,14,0.9333,15,28,19,32,1
1,107,20,14,6,2,21,81,37,0.4568,51,29,0.5686,30,8,0.2667,31,25,0.8065,12,27,28,36,0
0,110,18,16,10,6,22,80,34,0.425,53,23,0.434,27,11,0.4074,35,31,0.8857,13,29,26,29,0
1,113,22,14,9,7,23,80,42,0.525,62,35,0.5645,18,7,0.3889,30,22,0.7333,7,27,24,36,1
0,79,15,14,6,3,21,85,31,0.3647,62,23,0.371,23,8,0.3478,13,9,0.6923,12,27,18,16,0
1,96,25,16,7,2,19,85,37,0.4353,55,27,0.4909,30,10,0.3333,20,12,0.6,18,40,17,25,1
0,87,15,17,14,4,16,78,32,0.4103,45,21,0.4667,33,11,0.3333,19,12,0.6316,8,30,14,20,0
